Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
xid,Transaction ID,uint16,5,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.4.11
vd,Virtual Domain Name,string,32,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.4.11
user,User name,string,256,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.4.11
unauthusersource,Unauthenticated User Source,string,66,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.4.11
unauthuser,Unauthenticated User,string,66,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.4.11
tz,Time zone,string,5,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.4.11
type,Log Type,string,16,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.4.11
translationid,,uint32,10,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.4.11
time,Time,string,8,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.4.11
subtype,Log Subtype,string,20,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.4.11
sscname,Safe Search CNAME,string,256,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.4.11
srcport,Source Port,uint16,5,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.4.11
srcmac,MAC address associated with the Source IP,string,17,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.4.11
srcip,Source IP,ip,39,54601 - LOG_ID_DNS_BOTNET_DOMAIN,54601,LOG_ID_DNS_BOTNET_DOMAIN,Domain blocked by DNS botnet C&amp;C (Domain),DNS,dns-response,Warning,7.4.11
