Traffic,Threat,URL Filtering,Data Filtering,HIP Match,GlobalProtect,IP-Tag,User-ID,Decryption,Tunnel Inspection,SCTP,Authentication,Config,System,Correlated Events,GTP
to,to,to,to,seqno,private_ip,actionflags,datasourcetype,to,to,to,serverprofile,actionflags,dg_hier_level_1,device_name,to
inbound_if,inbound_if,inbound_if,inbound_if,actionflags,private_ipv6,dg_hier_level_1,seqno,inbound_if,inbound_if,inbound_if,desc,dg_hier_level_1,dg_hier_level_2,vsys_id,inbound_if
outbound_if,outbound_if,outbound_if,outbound_if,dg_hier_level_1,hostid,dg_hier_level_2,actionflags,outbound_if,outbound_if,outbound_if,clienttype,dg_hier_level_2,dg_hier_level_3,objectname,outbound_if
logset,logset,logset,logset,dg_hier_level_2,serialnumber,dg_hier_level_3,dg_hier_level_1,logset,logset,logset,event,dg_hier_level_3,dg_hier_level_4,object_id,logset
FUTURE_USE,FUTURE_USE,FUTURE_USE,FUTURE_USE,dg_hier_level_3,client_ver,dg_hier_level_4,dg_hier_level_2,time_received,FUTURE_USE,FUTURE_USE,factorno,dg_hier_level_4,vsys_name,evidence,FUTURE_USE
sessionid,sessionid,sessionid,sessionid,dg_hier_level_4,client_os,vsys_name,dg_hier_level_3,sessionid,sessionid,sessionid,seqno,vsys_name,device_name,,sessionid
repeatcnt,repeatcnt,repeatcnt,repeatcnt,vsys_name,client_os_ver,device_name,dg_hier_level_4,repeatcnt,repeatcnt,repeatcnt,actionflags,device_name,FUTURE_USE,,FUTURE_USE
sport,sport,sport,sport,device_name,repeatcnt,vsys_id,vsys_name,sport,sport,sport,dg_hier_level_1,dg_id,FUTURE_USE,,sport
dport,dport,dport,dport,vsys_id,reason,high_res,device_name,dport,dport,dport,dg_hier_level_2,comment,high_res_timestamp,,dport
natsport,natsport,natsport,natsport,srcipv6,error,cluster_name,vsys_id,natsport,natsport,FUTURE_USE,dg_hier_level_3,FUTURE_USE,,,FUTURE_USE
natdport,natdport,natdport,natdport,hostid,opaque,,factortype,natdport,natdport,FUTURE_USE,dg_hier_level_4,high_res_timestamp,,,FUTURE_USE
flags,flags,flags,flags,serialnumber,status,,factorcompletiontime,flags,flags,FUTURE_USE,vsys_name,,,,FUTURE_USE
proto,proto,proto,proto,mac,location,,factorno,proto,proto,FUTURE_USE,device_name,,,,proto
action,action,action,action,high_res_timestamp,login_duration,,ugflags,action,action,proto,vsys_id,,,,action
bytes,misc,misc,misc,cluster_name,connect_method,,userbysource,tunnel,severity,action,authproto,,,,event_type
bytes_sent,threatid,threatid,threatid,,error_code,,tag_name,FUTURE_USE,seqno,dg_hier_level_1,rule_uuid,,,,msisdn
bytes_received,category,category,category,,portal,,high_res,FUTURE_USE,actionflags,dg_hier_level_2,high_res,,,,apn
packets,severity,severity,severity,,seqno,,origindatasource,src_uuid,srcloc,dg_hier_level_3,src_category,,,,rat
start,direction,direction,direction,,actionflags,,FUTURE_USE,dst_uuid,dstloc,dg_hier_level_4,src_profile,,,,msg_type
elapsed,seqno,seqno,seqno,,high_res_timestamp,,cluster_name,rule_uuid,dg_hier_level_1,vsys_name,src_model,,,,end_ip_adr
category,actionflags,actionflags,actionflags,,selection_type,,,hs_stage_c2f,dg_hier_level_2,device_name,src_vendor,,,,teid1
FUTURE_USE,srcloc,srcloc,srcloc,,response_time,,,hs_stage_f2s,dg_hier_level_3,seqno,src_osfamily,,,,teid2
seqno,dstloc,dstloc,dstloc,,priority,,,tls_version,dg_hier_level_4,FUTURE_USE,src_osversion,,,,gtp_interface
actionflags,FUTURE_USE,FUTURE_USE,FUTURE_USE,,attempted_gateways,,,tls_keyxchg,vsys_name,assoc_id,src_host,,,,cause_code
srcloc,contenttype,contenttype,contenttype,,gateway,,,tls_enc,device_name,ppid,src_mac,,,,severity
dstloc,pcap_id,pcap_id,pcap_id,,dg_hier_level_1,,,tls_auth,tunnelid,severity,region,,,,mcc
FUTURE_USE,filedigest,filedigest,filedigest,,dg_hier_level_2,,,policy_name,monitortag,sctp_chunk_type,FUTURE_USE,,,,mnc
pkts_sent,cloud,cloud,cloud,,dg_hier_level_3,,,ec_curve,parent_session_id,FUTURE_USE,user_agent,,,,area_code
pkts_received,url_idx,url_idx,url_idx,,dg_hier_level_4,,,err_index,parent_start_time,verif_tag_1,sessionid,,,,cell_id
session_end_reason,user_agent,user_agent,user_agent,,vsys_name,,,root_status,tunnel,verif_tag_2,cluster_name,,,,event_code
dg_hier_level_1,filetype,filetype,filetype,,device_name,,,chain_status,bytes,sctp_cause_code,,,,,FUTURE_USE
dg_hier_level_2,xff,xff,xff,,vsys_id,,,proxy_type,bytes_sent,diam_app_id,,,,,FUTURE_USE
dg_hier_level_3,referer,referer,referer,,cluster_name,,,cert_serial,bytes_received,diam_cmd_code,,,,,srcloc
dg_hier_level_4,sender,sender,sender,,,,,fingerprint,packets,diam_avp_code,,,,,dstloc
vsys_name,subject,subject,subject,,,,,notbefore,pkts_sent,stream_id,,,,,FUTURE_USE
