Log Field Name,Data Type,Length,Message ID,Message Description,Message Meaning,Type,Category,Severity,Version
action,string,16,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
attack,string,256,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
attackid,uint32,10,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
count,uint32,10,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
craction,uint32,10,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
crlevel,string,10,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
crscore,uint32,10,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
date,string,10,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
dstintf,string,64,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
dstintfrole,string,10,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
dstip,ip,39,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
dstport,uint16,5,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
eventtime,uint64,20,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
eventtype,string,32,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
fctuid,string,32,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
group,string,64,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.0
