Log Field Name,Data Type,Length,Message ID,Message Description,Message Meaning,Type,Category,Severity,Version
srcintfrole,string,10,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.2
srcip,ip,39,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.2
srcport,uint16,5,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.2
subtype,string,20,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.2
time,string,8,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.2
type,string,16,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.2
tz,string,5,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.2
unauthuser,string,66,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.2
unauthusersource,string,66,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.2
user,string,256,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.2
vd,string,32,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.2
vrf,uint8,3,18432,LOGID_ATTCK_ANOMALY_TCP_UDP,Attack detected by UCP/TCP anomaly,Anomaly,ANOMALY,Alert,6.2.2
action,string,16,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
attack,string,256,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
attackid,uint32,10,18433,LOGID_ATTCK_ANOMALY_ICMP,Attack detected by ICMP anomaly,Anomaly,ANOMALY,Alert,6.2.2
